numGreen,numYellow,numBlue,avgGreen,maxGreen,minGreen,avgYellow,maxYellow,minYellow,avgBlue,maxBlue,minBlue,time
30,13,20,10.3,36.1,0.3,24.7,91.6,2.0,14.1,39.2,1.2,0.275
3,18,34,82.0,220.4,20.7,16.0,67.5,1.2,6.2,27.0,0.4,0.241
18,10,23,14.1,44.8,0.3,28.4,130.0,1.9,9.9,34.1,0.4,0.222
0,16,24,0.0,0.0,0.0,13.5,43.1,1.0,6.5,18.4,0.4,0.175
1,5,3,52.1,66.7,43.9,14.9,38.2,0.5,14.0,33.5,1.0,0.048
23,29,11,12.5,62.8,0.4,10.9,30.5,0.6,26.2,111.0,2.1,0.28
14,17,7,13.3,40.5,0.4,12.1,32.8,0.9,25.0,58.0,2.1,0.166
7,5,30,30.9,99.8,2.7,50.6,150.1,4.2,5.5,23.9,0.4,0.184
23,19,5,9.6,32.5,0.3,12.9,34.8,1.0,41.7,110.0,5.1,0.213
11,22,10,19.0,58.2,0.4,10.1,28.8,0.3,19.4,53.8,2.4,0.183
4,23,30,67.3,164.9,13.0,12.8,35.1,0.7,7.8,26.5,0.4,0.254
18,22,8,12.6,59.5,0.5,11.3,37.3,0.2,27.0,64.0,1.8,0.213
25,34,5,11.2,41.0,0.4,9.3,34.5,0.4,54.0,112.4,12.4,0.286
11,32,13,23.9,52.0,1.2,8.3,31.7,0.2,19.5,45.2,1.6,0.249
28,8,23,10.2,36.0,0.4,37.7,115.9,4.0,11.8,33.0,0.4,0.271
8,28,10,27.4,60.3,6.1,7.9,26.9,0.5,19.6,84.1,1.9,0.198
14,31,19,22.2,53.5,0.8,10.6,36.0,0.4,15.0,57.5,0.5,0.286
20,1,2,4.6,18.7,0.3,129.6,172.6,143.6,56.5,79.5,39.8,0.087
15,20,2,11.3,36.5,0.3,9.4,25.6,0.3,81.1,137.9,51.9,0.154
9,3,7,10.6,35.3,0.3,43.0,87.5,5.6,12.5,40.8,0.5,0.167
3,0,3,14.8,28.4,1.3,0.0,0.0,0.0,12.5,34.2,1.1,0.04
0,3,3,0.0,0.0,0.0,24.6,50.3,1.2,12.1,28.5,0.9,0.021
4,0,54,59.1,237.7,4.9,0.0,0.0,0.0,3.5,14.6,0.4,0.257
27,9,26,11.2,36.9,0.3,36.5,93.8,6.7,11.0,28.8,0.5,0.273
38,6,14,6.7,33.0,0.3,50.2,134.2,9.8,18.8,98.9,0.0,0.262
31,17,13,9.1,32.5,0.3,18.7,72.8,1.8,21.4,79.2,2.0,0.27
11,23,0,13.9,29.9,0.5,6.9,23.8,0.3,0.0,0.0,0.0,0.14
8,14,34,34.4,126.6,1.2,21.5,61.6,1.3,6.8,31.6,0.4,0.248
29,32,2,9.4,31.3,0.4,9.7,32.1,0.6,125.9,201.2,115.2,0.277
22,21,9,11.2,37.0,0.4,12.8,58.8,0.8,26.4,75.2,1.0,0.225
31,3,23,8.6,30.0,0.3,98.0,178.3,25.4,11.4,43.8,0.4,0.26
5,22,31,55.7,166.7,8.7,13.5,40.2,0.6,7.7,30.2,0.4,0.259
26,13,2,6.9,28.4,0.3,17.2,50.1,1.8,90.4,183.2,36.1,0.173
8,29,24,36.3,122.2,6.2,10.5,33.8,0.5,10.8,42.2,0.4,0.268
38,2,5,4.7,18.0,0.3,116.0,160.4,91.9,39.8,132.8,1.8,0.19
1,14,43,191.8,355.7,263.5,21.7,95.2,1.4,4.9,21.1,0.4,0.258
22,28,12,13.2,60.4,0.6,11.4,42.2,0.6,23.6,75.2,3.2,0.271
4,8,45,66.2,247.0,17.6,37.1,107.6,5.2,4.6,22.0,0.4,0.253
19,13,3,8.3,26.0,0.3,14.9,51.1,0.4,53.9,92.6,14.6,0.145
14,11,1,8.3,26.6,0.3,13.5,30.8,1.5,112.8,147.1,116.1,0.101
19,20,18,14.9,44.4,0.6,14.8,64.8,1.2,14.7,43.4,0.8,0.254
6,4,36,39.1,122.1,2.5,63.2,125.9,12.5,4.8,20.0,0.4,0.199
4,27,14,51.4,121.9,3.6,8.1,27.6,0.3,13.7,40.6,0.6,0.193
3,11,3,26.5,49.3,6.4,8.4,24.0,0.2,24.0,64.5,2.6,0.114
17,0,20,10.7,48.4,0.3,0.0,0.0,0.0,8.1,25.9,0.4,0.154
4,12,37,62.4,203.2,7.5,24.4,61.9,2.2,5.6,22.5,0.4,0.236
36,7,16,7.2,34.5,0.3,42.9,127.9,8.3,17.2,55.4,0.8,0.262
9,8,32,26.3,107.9,1.0,33.8,115.4,2.0,6.1,29.1,0.4,0.215
33,0,24,7.8,28.0,0.2,0.0,0.0,0.0,10.6,33.4,0.8,0.254
6,21,3,23.4,52.3,4.2,6.8,20.1,0.4,43.6,92.5,18.2,0.121
7,0,17,18.6,45.9,0.9,0.0,0.0,0.0,5.7,19.6,0.4,0.098
28,29,7,10.9,42.6,0.3,11.1,31.3,0.3,40.0,106.5,9.8,0.286
13,24,10,18.0,70.8,0.5,9.9,36.2,0.3,21.1,54.2,1.9,0.201
14,49,0,17.7,40.6,2.9,5.4,25.9,0.2,0.0,0.0,0.0,0.279
24,4,10,7.3,31.4,0.3,54.3,106.8,8.8,17.8,61.5,2.4,0.161
54,4,1,3.9,18.0,0.3,66.0,192.5,7.4,176.9,328.1,260.2,0.261
22,12,26,13.5,39.8,1.1,26.5,87.2,4.3,10.5,31.6,0.4,0.271
5,20,15,40.0,107.5,5.8,10.4,28.6,0.3,11.4,36.5,0.4,0.168
19,5,3,6.1,27.0,0.3,33.3,82.9,3.6,43.7,73.9,22.9,0.111
5,51,3,43.3,96.9,6.8,4.6,21.0,0.3,64.5,117.0,28.8,0.26
5,0,41,46.6,157.4,3.3,0.0,0.0,0.0,3.8,15.0,0.4,0.197
5,1,34,41.7,102.1,6.3,181.6,278.7,237.8,4.1,15.0,0.4,0.17
41,6,9,5.8,26.7,0.3,50.9,145.9,12.8,29.3,101.4,2.1,0.25
0,45,14,0.0,0.0,0.0,5.7,21.3,0.3,15.6,34.1,0.8,0.264
8,5,20,21.8,62.8,1.1,39.6,105.2,14.4,6.8,24.8,0.4,0.135
25,15,15,10.5,39.7,0.3,19.6,80.1,1.2,16.6,83.4,0.5,0.241
4,1,59,63.8,303.7,9.9,189.7,370.4,268.8,3.6,15.4,0.4,0.287
20,23,13,13.6,45.0,0.5,12.3,51.5,0.3,19.5,59.0,2.0,0.25
7,37,5,31.0,97.7,1.2,5.9,26.3,0.2,40.5,85.1,6.5,0.216
2,17,12,75.8,107.8,58.0,9.5,30.9,0.3,10.8,36.8,0.5,0.128
4,26,0,30.6,52.5,3.5,4.8,15.3,0.2,0.0,0.0,0.0,0.122
1,30,16,175.8,278.0,221.9,7.4,25.8,0.3,11.8,33.8,0.6,0.25
30,1,32,9.9,29.9,0.4,203.3,404.8,345.8,8.4,24.4,0.2,0.275
48,2,8,4.8,27.0,0.3,136.5,251.7,97.8,31.5,153.2,1.2,0.261
3,32,22,83.6,173.6,28.8,8.8,30.2,0.2,10.8,30.1,0.4,0.249
47,1,3,4.0,15.0,0.3,206.1,348.8,238.2,69.7,207.0,19.0,0.227
15,24,14,17.7,57.2,1.0,11.3,36.4,0.2,17.0,46.1,3.4,0.233
11,42,6,24.4,70.2,2.7,6.3,27.3,0.2,38.9,112.1,6.0,0.259
1,1,35,161.2,233.8,178.0,167.4,260.9,193.7,3.5,13.6,0.4,0.166
43,1,0,3.6,14.8,0.3,181.4,291.2,222.6,0.0,0.0,0.0,0.188
20,4,8,7.4,27.2,0.3,47.4,96.7,5.8,18.4,59.8,1.2,0.133
9,24,23,31.1,86.2,2.4,12.1,44.1,0.9,10.9,37.1,0.4,0.248
16,32,4,14.9,60.8,1.3,7.8,28.2,0.3,55.8,132.9,12.9,0.227
57,2,0,3.6,14.3,0.1,121.3,238.7,73.4,0.0,0.0,0.0,0.259
